family,generator,mode,split,MAE,Pearson,Spearman,delta_vs_ref,boot_lo,boot_hi,p_improve,ref,n_features,n
FENNIX_V2,ESMFold,STANDALONE,CV,3.556444491099369,-0.0817072461031005,-0.08352507240601521,0.11817288616109733,-0.017456386327643788,0.2554638467847471,0.0444,MEDIAN,21,162
FENNIX_V2,ESMFold,PLM_ONLY,CV,3.0285127332409196,0.5067590580266962,0.4984297388358006,-0.40975887169735214,-0.6797113729823546,-0.136038945730501,0.9995,MEDIAN,21,162
FENNIX_V2,ESMFold,PLM_PLUS,CV,3.1697294812733894,0.42016624310956807,0.4158751326174281,0.14121674803246975,0.017075293542595786,0.26354862046621785,0.0142,PLM_ONLY,21,162
FENNIX_V2,ESMFold,RESIDUAL_RECON,CV,3.1717495526163884,0.42359404722479466,0.4266646824590791,0.14323681937546873,0.03029013103248558,0.259058134213424,0.0059,PLM_ONLY,21,162
FENNIX_V2,ESMFold,STANDALONE,Public,3.832678849087225,0.08949428645409171,0.024874562766972266,0.04872823180327446,-0.12223267704254788,0.22608815562141632,0.2841,MEDIAN,21,81
FENNIX_V2,ESMFold,STANDALONE,Private,3.586935510794947,0.17448467902704298,0.17742140548134153,-0.1846694274766576,-0.3770266619530127,0.0064507378727299124,0.9705,MEDIAN,21,81
FENNIX_V2,ESMFold,PLM_ONLY,Public,3.450123112629274,0.43686686390301915,0.4525113553791774,0.0,0.0,0.0,0.0,PLM_ONLY,21,81
FENNIX_V2,ESMFold,PLM_ONLY,Private,3.271088617039208,0.50391660093664,0.5638299186108444,0.0,0.0,0.0,0.0,PLM_ONLY,21,81
FENNIX_V2,ESMFold,PLM_PLUS,Public,3.4344531423815625,0.47276264856436573,0.4679152758932088,-0.01566997024771144,-0.15463237053144444,0.1250351334255096,0.5775,PLM_ONLY,21,81
FENNIX_V2,ESMFold,PLM_PLUS,Private,3.2613765089893993,0.5057459971494945,0.5520606149017974,-0.009712108049808599,-0.1469060232213537,0.12565350091687325,0.5617,PLM_ONLY,21,81
FENNIX_V2,ESMFold_SHADOW,STANDALONE,Shadow,3.5351101229751962,-0.039922961273867075,-0.038873739472688615,0.09683851803692445,-0.04415750151529064,0.23830978361941513,0.09,MEDIAN,21,162
FENNIX_V2,ESMFold_SHADOW,PLM_ONLY,Shadow,3.030945321708822,0.5132301084291588,0.5219469456653119,-0.40732628322944997,-0.6721658025004277,-0.1543351367819251,0.9995,MEDIAN,21,162
FENNIX_V2,ESMFold_SHADOW,PLM_PLUS,Shadow,3.146332261632801,0.4532929521393464,0.4550384580704176,0.11538693992397908,-0.021552026853557667,0.24732097466480063,0.0485,PLM_ONLY,21,162
FENNIX_V2,ESMFold_SHADOW,RESIDUAL_RECON,Shadow,3.1919909182836643,0.4456440698878936,0.45644259692124256,0.16104559657484252,0.0517181267945142,0.273780509265144,0.0024,PLM_ONLY,21,162
FENNIX_V2,ABB2,STANDALONE,CV,3.609121905232401,-0.11618327631248136,-0.09956672310014844,0.1708503002941293,0.043931556307385475,0.3016374560768359,0.0037,MEDIAN,21,162
